id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click,age_group
670,User670,22.0,Female,Desktop,Top,Shopping,Afternoon,1,18-24
3044,User3044,34.0,Male,Desktop,Top,News,Night,1,25-44
5912,User5912,41.0,Non-Binary,Mobile,Side,Education,Night,1,25-44
5418,User5418,34.0,Male,Mobile,Top,Entertainment,Evening,1,25-44
9452,User9452,39.0,Female,Mobile,Top,Other,Morning,0,25-44
5942,User5942,43.0,Non-Binary,Tablet,Bottom,Social Media,Evening,1,25-44
7808,User7808,26.0,Non-Binary,Desktop,Top,News,Night,1,25-44
5065,User5065,40.0,Male,Mobile,Side,Social Media,Evening,0,25-44
7993,User7993,43.0,Non-Binary,Mobile,Bottom,Social Media,Morning,1,25-44
4509,User4509,29.0,Female,Desktop,Bottom,Education,Afternoon,1,25-44
2595,User2595,41.0,Male,Desktop,Bottom,News,Morning,1,25-44
7466,User7466,47.0,Female,Mobile,Bottom,Shopping,Afternoon,1,45-59
8171,User8171,42.0,Male,Mobile,Side,Education,Afternoon,0,25-44
2023,User2023,19.0,Non-Binary,Desktop,Top,News,Morning,1,18-24
973,User973,37.0,Male,Mobile,Bottom,Social Media,Morning,1,25-44
7529,User7529,43.5,Female,Mobile,Top,Other,Afternoon,0,25-44
8127,User8127,41.0,Male,Tablet,Bottom,News,Night,1,25-44
188,User188,56.0,Female,Tablet,Bottom,News,Morning,1,45-59
2124,User2124,41.0,Female,Desktop,Top,News,Evening,1,25-44
7335,User7335,24.0,Female,Tablet,Side,Entertainment,Night,0,18-24
5569,User5569,43.0,Male,Mobile,Bottom,Social Media,Afternoon,1,25-44
2272,User2272,52.0,Female,Tablet,Bottom,News,Morning,1,45-59
2722,User2722,39.0,Male,Desktop,Top,News,Evening,1,25-44
316,User316,42.0,Non-Binary,Desktop,Top,Social Media,Night,1,25-44
9789,User9789,36.0,Female,Tablet,Side,News,Morning,1,25-44
4890,User4890,43.0,Male,Tablet,Bottom,Education,Afternoon,1,25-44
4994,User4994,62.0,Male,Mobile,Top,Social Media,Night,0,60+
5055,User5055,45.0,Male,Desktop,Top,Education,Morning,1,45-59
6724,User6724,37.0,Female,Desktop,Top,Entertainment,Evening,1,25-44
8253,User8253,57.0,Male,Desktop,Bottom,Entertainment,Night,1,45-59
4945,User4945,31.0,Male,Tablet,Top,Social Media,Morning,1,25-44
1729,User1729,26.0,Male,Mobile,Top,Social Media,Afternoon,1,25-44
6862,User6862,42.0,Male,Tablet,Side,Education,Afternoon,1,25-44
4985,User4985,37.0,Male,Mobile,Top,News,Evening,0,25-44
7361,User7361,37.0,Female,Mobile,Top,Entertainment,Afternoon,0,25-44
